X,Y,Z,formation
308806,2534312,1422,eandp
308970,2534492,1491,eandp
308864,2534995,1457,eandp
308853,2535265,1396,eandp
308520,2535487,1218,eandp
308017,2535355,1206,eandp
307679,2534847,1411,eandp
307964,2534381,1382,eandp
308361,2534371,1392,eandp
306407,2534005,1137,eands
306025,2534507,898,eands
305498,2535225,1060,eands
304994,2536060,1508,eands
304567,2537002,1646,eands
304351,2537867,1696,eands
304267,2538779,1686,eands
304204,2539636,1841,eands
303961,2540303,1850,eands
303681,2541073,1763,eands
303802,2541601,1818,eands
304140,2540755,1800,eands
304519,2539901,1881,eands
304931,2539184,1839,eands
305276,2538238,1692,eands
305773,2537548,1460,eands
306042,2536923,1327,eands
306503,2536631,1259,eands
306878,2536541,1224,eands
307126,2536028,1104,eands
307774,2535968,1057,eands
308168,2535929,1116,eands
308267,2535747,1140,eands
308708,2534030,1294,eands
309106,2533811,1273,eands
309375,2533664,1338,eands
307015.6932,2532757.493,1338,eands
307197.128,2532158.04,1338,eands
307305.989,2531722.125,1338,eands
309610.2119,2533314.508,1338,eands
309773.5033,2532733.249,1338,eands
309846.0773,2532152.189,1338,eands
310009.3687,2531734.308,1338,eands
303895.0132,2540878.819,1750,eands
304239.7395,2540006.709,1400,eands
304548.1788,2539080.22,1200,eands
304657.0397,2538136.018,1100,eands
305237.6313,2537317.847,1100,eands
305618.6446,2536300.432,900,eands
306271.8102,2535554.712,750,eands
307596.2848,2535315.797,700,eands
307088.2671,2534627.101,700,eands
307632.5717,2533355.183,700,eands
308013.585,2534044.159,700,eands
308902.6159,2532807.785,700,eands
309065.9073,2531863.463,700,eands
308195.0199,2532337.367,700,eands
