X,Y,Z,formation
295626,2539723,2340,ord
296784,2538135,2186,ord
297743,2537176,2420,ord
298603,2535126,2179,ord
299429,2534034,2116,ord
300554,2532811,2068,ord
298040,2533274,1591,ord
296949,2534795,1729,ord
296288,2536647,1860,ord
295527,2537011,1576,ord
295461,2535159,1559,ord
296056,2533703,1667,ord
296751,2533207,1259,ord
295361,2533240,1720,ord
295725,2538731,2347,ord
298107,2540550,1504,pro
299760,2540748,1264,pro
302108,2541608,1658,pro
302737,2540781,1614,pro
303067,2539921,1671,pro
303067,2537738,1202,pro
304556,2534960,982,pro
305052,2533406,860,pro
304357,2532777,872,pro
302108,2534729,1253,pro
300091,2537805,1738,pro
299859,2539491,1399,silu
301381,2539657,1098,silu
301678,2538234,1130,silu
298603,2538764,2307,silu
299760,2536713,1922,silu
301778,2536647,1191,silu
305085,2541674,1955,silu
306209,2541476,2004,silu
308392,2540847,1764,silu
310046,2540153,1755,silu
311038,2539260,1779,silu
310542,2537639,2034,silu
310939,2534464,1801,silu
309417,2537474,1615,silu
308458,2539028,2123,silu
306474,2539888,2255,silu
305680,2539822,2084,silu
306309,2538433,1758,silu
307632,2537408,1539,silu
308789,2536316,1291,silu
309847,2535919,1720,silu
309914,2534596,1650,silu
310244,2533836,1436,silu
303821,2541312,1879,silu
303885,2540994,1885,silu
304001,2540539,2137,silu
304340,2539894,1893,silu
304657,2539132,1769,silu
304435,2539291,1762,silu
304594,2538497,1640,silu
305006,2538497,1662,silu
305102,2537936,1618,silu
304699,2537841,1595,silu
304784,2537301,1597,silu
305356,2537174,1521,silu
305229,2537534,1586,silu
305419,2536793,1460,silu
305017,2536708,1515,silu
306054,2535914,1164,silu
306784,2535586,960,silu
306372,2535491,941,silu
308170,2535126,1330,emei
308366,2535184,1332,emei
308732,2534894,1486,emei
308633,2534630,1468,emei
308004,2534779,1429,emei
308449,2534650,1429,emei
