X,Y,Z,formation
295821,2541705,1897,ailaoshanf
297042,2541638,1880,ailaoshanf
297977,2541586,1864,ailaoshanf
299551,2541854,1563,ailaoshanf
302905,2542522,1736,ailaoshanf
306644,2542257,1625,ailaoshanf
308871,2541505,1025,ailaoshanf
310393,2540809,1378,ailaoshanf
311723,2540161,1035,ailaoshanf
305573,2542459,1821,ailaoshanf
295391,2540858,2096,sanjiang
296122,2540270,2080,sanjiang
296675,2539712,2115,sanjiang
297523,2538793,2298,sanjiang
298160,2537794,2548,sanjiang
298725,2536710,2434,sanjiang
299220,2535783,2143,sanjiang
300242,2534553,1732,sanjiang
301269,2533345,1802,sanjiang
302168,2532269,1652,sanjiang
303569,2541382,1784,XF
303830,2540664,2002,XF
304072,2540000,1968,XF
304227,2539323,1823,XF
304289,2538541,1712,XF
304394,2537397,1691,XF
304886,2536270,1566,XF
305175,2535707,1271,XF
305657,2534989,973,XF
306150,2534342,991,XF
306709,2533546,1063,XF
