X,Y,Z,formation
309106,2534312,1422,eand
309270,2534492,1491,eand
309164,2534995,1457,eand
309153,2535265,1396,eand
308820,2535487,1218,eand
308317,2535355,1206,eand
307979,2534847,1411,eand
308264,2534381,1382,eand
308661,2534371,1392,eand
306707,2534005,1137,eand
306325,2534507,898,eand
305798,2535225,1060,eand
305294,2536060,1508,eand
304867,2537002,1646,eand
304651,2537867,1696,eand
304567,2538779,1686,eand
304504,2539636,1841,eand
304261,2540303,2097,eand
303981,2541073,1763,eand
304102,2541601,1818,eand
304440,2540755,2128,eand
304819,2539901,1881,eand
305231,2539184,1839,eand
305576,2538238,1692,eand
306073,2537548,1460,eand
306342,2536923,1327,eand
306803,2536631,1259,eand
307178,2536541,1224,eand
307426,2536028,1104,eand
308074,2535968,1057,eand
308468,2535929,1116,eand
308567,2535747,1140,eand
309008,2534030,1294,eand
309406,2533811,1273,eand
309675,2533664,1338,eand
298107,2540550,1504,pro
299760,2540748,1264,pro
302108,2541608,1658,pro
302737,2540781,1614,pro
303067,2539921,1671,pro
303067,2537738,1202,pro
304556,2534960,982,pro
305052,2533406,860,pro
304357,2532777,872,pro
302108,2534729,1253,pro
300091,2537805,1738,pro
295626,2539723,2340,ord
296784,2538135,2186,ord
297743,2537176,2420,ord
298603,2535126,2179,ord
299429,2534034,2116,ord
300554,2532811,2068,ord
298040,2533274,1591,ord
296949,2534795,1729,ord
296288,2536647,1860,ord
295527,2537011,1576,ord
295461,2535159,1559,ord
296056,2533703,1667,ord
296751,2533207,1259,ord
295361,2533240,1720,ord
295725,2538731,2347,ord
295821,2541705,1897,ailaoshanf
297042,2541638,1880,ailaoshanf
297977,2541586,1864,ailaoshanf
299551,2541854,1563,ailaoshanf
302905,2542522,1736,ailaoshanf
306644,2542257,1625,ailaoshanf
308871,2541505,1025,ailaoshanf
310393,2540809,1378,ailaoshanf
311723,2540161,1035,ailaoshanf
305573,2542459,1821,ailaoshanf
295391,2540858,2096,sanjiang
296122,2540270,2080,sanjiang
296675,2539712,2115,sanjiang
297523,2538793,2298,sanjiang
298160,2537794,2548,sanjiang
298725,2536710,2434,sanjiang
299220,2535783,2143,sanjiang
300242,2534553,1732,sanjiang
301269,2533345,1802,sanjiang
302168,2532269,1652,sanjiang
303569,2541382,1784,XF
303830,2540664,2002,XF
304072,2540000,1968,XF
304227,2539323,1823,XF
304289,2538541,1712,XF
304394,2537397,1691,XF
304886,2536270,1566,XF
305175,2535707,1271,XF
305657,2534989,973,XF
306150,2534342,991,XF
306709,2533546,1063,XF
295821,2541705,897,ailaoshanf
297042,2541638,880,ailaoshanf
297977,2541586,864,ailaoshanf
299551,2541854,563,ailaoshanf
302905,2542522,736,ailaoshanf
306644,2542257,625,ailaoshanf
308871,2541505,25,ailaoshanf
310393,2540809,378,ailaoshanf
311723,2540161,35,ailaoshanf
305573,2542459,821,ailaoshanf
295391,2540858,1096,sanjiang
296122,2540270,1080,sanjiang
296675,2539712,1115,sanjiang
297523,2538793,1298,sanjiang
298160,2537794,1548,sanjiang
298725,2536710,1434,sanjiang
299220,2535783,1143,sanjiang
300242,2534553,732,sanjiang
301269,2533345,802,sanjiang
302168,2532269,652,sanjiang
303569,2541382,784,XF
303830,2540664,1002,XF
304072,2540000,968,XF
304227,2539323,823,XF
304289,2538541,712,XF
304394,2537397,691,XF
304886,2536270,566,XF
305175,2535707,271,XF
305657,2534989,-27,XF
306150,2534342,-9,XF
306709,2533546,63,XF
