X,Y,Z,formation
550464.3105,7817886.25,-8833.120117,Apoints
549339.3105,7817886.25,-8864.879883,Apoints
551626.8105,7820570.359,-8846.129883,Apoints
549801.8105,7819031.219,-8852.179688,Apoints
551801.8105,7821809.18,-8845.959961,Apoints
549751.8105,7817980.098,-8867.639648,Apoints
549826.8105,7818055.18,-8869.389648,Apoints
552101.8105,7818561.969,-8811.410156,Apoints
551264.3105,7818130.258,-8796.799805,Apoints
550489.3105,7818224.109,-8839.269531,Apoints
549301.8105,7819068.758,-8906.370117,Apoints
551076.8105,7818543.199,-8809.919922,Apoints
550701.8105,7817341.918,-8813.429688,Apoints
549576.8105,7817811.168,-8853.530273,Apoints
549389.3105,7820532.82,-8951.950195,Apoints
551126.8105,7820814.371,-8876.94043,Apoints
552301.8105,7817304.379,-8752.639648,Apoints
549126.8105,7819068.758,-8917.820313,Apoints
551064.3105,7820983.297,-8890.679688,Apoints
549689.3105,7816684.969,-8833,Apoints
549276.8105,7818167.797,-8881.370117,Apoints
549014.3105,7819294,-8941.469727,Apoints
550326.8105,7819819.559,-8795,Apoints
551289.3105,7819575.551,-8821.089844,Apoints
552039.3105,7818824.75,-8811.799805,Apoints
550976.8105,7818543.199,-8817.389648,Apoints
552001.8105,7818092.719,-8784.299805,Apoints
552439.3105,7821415.008,-8861.370117,Apoints
548901.8105,7820044.801,-8941.980469,Apoints
550414.3105,7820551.59,-8801.360352,Apoints
550476.8105,7818055.18,-8837.169922,Apoints
551251.8105,7818637.047,-8804.530273,Apoints
549864.3105,7819706.938,-8861.839844,Apoints
551776.8105,7816684.969,-8771.910156,Apoints
552289.3105,7817642.238,-8775.69043,Apoints
549889.3105,7818055.18,-8867.129883,Apoints
551164.3105,7818055.18,-8795.950195,Apoints
551489.3105,7818130.258,-8785.040039,Apoints
549389.3105,7818637.047,-8872.040039,Apoints
549426.8105,7817266.84,-8792.830078,Apoints
550651.8105,7817754.859,-8825.389648,Apoints
550289.3105,7818524.43,-8843.530273,Apoints
550526.8105,7818486.891,-8825.19043,Apoints
549951.8105,7818055.18,-8866.719727,Apoints
551164.3105,7821020.84,-8888.820313,Apoints
548889.3105,7816684.969,-8874.269531,Apoints
552326.8105,7820945.758,-8842.610352,Apoints
552314.3105,7816778.816,-8744.5,Apoints
552151.8105,7819125.07,-8811.219727,Apoints
552039.3105,7820851.91,-8850.009766,Apoints
550089.3105,7819500.469,-8819.410156,Apoints
549114.3105,7821433.781,-8954.410156,Apoints
551976.8105,7818956.141,-8813.040039,Apoints
551526.8105,7821227.309,-8900.94043,Apoints
550964.3105,7819275.23,-8806.349609,Apoints
552014.3105,7817661.008,-8789.830078,Apoints
549751.8105,7821809.18,-8968.230469,Apoints
550976.8105,7818186.57,-8807.730469,Apoints
551464.3105,7821152.23,-8895.769531,Apoints
549464.3105,7820194.961,-8927.660156,Apoints
551526.8105,7819425.391,-8820.830078,Apoints
551364.3105,7820908.219,-8886.349609,Apoints
551289.3105,7821471.32,-8904.669922,Apoints
551801.8105,7821752.867,-8853.799805,Apoints
551989.3105,7819500.469,-8808.730469,Apoints
550626.8105,7820082.34,-8775.349609,Apoints
549601.8105,7821471.32,-8963.980469,Apoints
552039.3105,7818561.969,-8808.179688,Apoints
551501.8105,7821809.18,-8880.339844,Apoints
550126.8105,7820007.258,-8812.509766,Apoints
551414.3105,7820833.141,-8879.469727,Apoints
548876.8105,7821133.457,-8967.650391,Apoints
552226.8105,7817379.461,-8762.620117,Apoints
552039.3105,7821039.609,-8859.179688,Apoints
549864.3105,7819049.988,-8849.620117,Apoints
549014.3105,7816666.199,-8873.290039,Apoints
552039.3105,7821827.949,-8841.919922,Apoints
551864.3105,7817567.16,-8791.19043,Apoints
549476.8105,7818543.199,-8864.049805,Apoints
550114.3105,7817154.219,-8821.719727,Apoints
550289.3105,7817754.859,-8843.040039,Apoints
551314.3105,7818561.969,-8791.709961,Apoints
549951.8105,7818130.258,-8868.280273,Apoints
551751.8105,7819200.148,-8814.780273,Apoints
551776.8105,7820532.82,-8829.129883,Apoints
551664.3105,7817923.789,-8796.480469,Apoints
549989.3105,7821264.848,-8940.540039,Apoints
549114.3105,7818749.668,-8913.709961,Apoints
552439.3105,7821321.16,-8860.669922,Apoints
550701.8105,7819275.23,-8776.019531,Apoints
550589.3105,7819763.25,-8802.730469,Apoints
551039.3105,7820645.438,-8847.509766,Apoints
552064.3105,7821114.691,-8859.950195,Apoints
550489.3105,7817698.547,-8830.540039,Apoints
549401.8105,7818899.828,-8880.830078,Apoints
550939.3105,7820551.59,-8817.929688,Apoints
549501.8105,7821020.84,-8954.589844,Apoints
549726.8105,7819500.469,-8878.55957,Apoints
551014.3105,7820908.219,-8879.870117,Apoints
549001.8105,7821152.23,-8970.549805,Apoints
551664.3105,7819932.18,-8825.889648,Apoints
549289.3105,7818561.969,-8891.139648,Apoints
550601.8105,7818299.188,-8818.980469,Apoints
552401.8105,7818017.637,-8798.700195,Apoints
550001.8105,7821433.781,-8961.639648,Apoints
549226.8105,7818561.969,-8899.490234,Apoints
551751.8105,7820589.129,-8834.570313,Apoints
549639.3105,7819688.168,-8896.299805,Apoints
550139.3105,7818730.898,-8819.5,Apoints
549576.8105,7817905.02,-8864.790039,Apoints
549064.3105,7819125.07,-8927.280273,Apoints
550826.8105,7821546.398,-8912.099609,Apoints
551864.3105,7817266.84,-8780.049805,Apoints
550551.8105,7821490.09,-8923.629883,Apoints
550364.3105,7819012.449,-8785.080078,Apoints
549464.3105,7819294,-8906.129883,Apoints
552226.8105,7816684.969,-8756.900391,Apoints
552214.3105,7819969.719,-8789.929688,Apoints
552126.8105,7818017.637,-8795.349609,Apoints
