X,Y,Z,formation
1.505406,0.29554,3.32516,layer1
1.710851,0.284936,3.24865,layer1
1.851495,-0.00339,3.19537,layer1
2.240846,-0.237692,3.04396,layer1
2.651827,-0.044266,2.90336,layer1
3.181776,0.486114,2.75195,layer1
3.614388,-0.270456,2.61135,layer1
3.776618,-0.265148,2.63298,layer1
3.830694,-0.077911,2.77358,layer1
3.852325,0.272048,3.10885,layer1
3.873955,0.342194,3.46576,layer1
3.895585,-0.348773,3.68206,layer1
3.921422,0.410191,3.96162,layer1
4.057551,0.211153,4.03639,layer1
4.211221,0.224591,4.07481,layer1
1.983993,-0.195852,3.1442,layer1
2.111974,0.447949,3.09283,layer1
2.375809,0.01664,2.99659,layer1
2.505367,-0.464299,2.9504,layer1
2.818563,0.281779,2.85379,layer1
3.002423,-0.148964,2.80692,layer1
3.329585,-0.036496,2.68705,layer1
3.465678,-0.422852,2.64109,layer1
3.852325,0.096054,2.93175,layer1
3.860436,-0.123006,3.30454,layer1
3.88492,0.372103,3.57927,layer1
3.877138,-0.19571,3.82885,layer1
1.781173,0.140773,3.22201,layer1
2.026654,0.018748,3.12708,layer1
2.069314,0.233348,3.10995,layer1
2.154932,0.219402,3.07654,layer1
2.197889,-0.009145,3.06025,layer1
2.440588,-0.223829,2.9735,layer1
2.578597,-0.254283,2.92688,layer1
2.735195,0.118756,2.87858,layer1
2.910492,0.066407,2.83036,layer1
3.062207,0.062728,2.7886,layer1
3.121992,0.274421,2.77027,layer1
3.255681,0.224809,2.7195,layer1
3.397632,-0.229674,2.66407,layer1
3.85638,0.074521,3.2067,layer1
3.867196,0.109594,3.38515,layer1
3.888475,0.131811,3.61353,layer1
3.89203,-0.108481,3.6478,layer1
3.891899,0.006257,3.8731,layer1
3.906661,0.208224,3.91736,layer1
1.171598,-0.13488,2.70886,layer2
1.274289,0.028307,2.67915,layer2
1.37698,0.191494,2.64944,layer2
1.457114,-0.04612,2.62241,layer2
1.537247,-0.283733,2.59538,layer2
1.622293,-0.068358,2.56124,layer2
1.707339,0.147018,2.5271,layer2
1.798813,0.27498,2.49189,layer2
1.890287,0.402941,2.45669,layer2
2.076264,0.352442,2.39837,layer2
2.131952,0.1403,2.37999,layer2
2.18764,-0.071842,2.3616,layer2
2.243328,-0.283984,2.34321,layer2
2.291617,-0.058261,2.3222,layer2
2.339906,0.167462,2.30118,layer2
