X,Y,Z,G_x,G_y,G_z
7.527,-0.068673,3.01688,-0.959273,0,0.282481
5.078998,-0.188734,2.41768,-0.999978,0,0.00657
4.241215,-0.083621,2.68816,-0.997458,0,0.071258
3.812638,0.163828,0.584748,0.619147,0,0.785275
6.795409,-0.165119,1.58278,-0.999329,0,-0.036628
7.917865,-0.085538,0.997242,-0.952199,0,-0.305478
9.408628,0.137489,0.974493,-0.904756,0,-0.425931
10.114,0.134223,3.11576,-0.170274,0,0.985397
11.157912,-0.175397,2.38762,0.435,0,0.90043
12.223744,-0.04496,1.06144,0.274058,0,0.961713
13.428433,-0.200595,1.57896,0.279614,0,0.960112
14.032427,0.239531,2.64975,0.384015,0,0.923327
12.53562,0.144174,3.7352,0.403276,0,0.915078
13.195914,0.085904,3.75972,0.377478,0,0.926019
14.736936,0.278,3.83507,0.384944,0,0.92294
14.451224,-0.121838,1.1005,0.366117,0,0.930569
13.649809,-0.090084,0.273521,0.296818,0,0.954934
11.519405,-0.125028,0.478261,0.201285,0,0.979533
10.343018,0.143548,1.80057,-0.615949,0,0.787786
9.870857,0.058731,2.5202,-0.764469,0,0.64466
9.482019,0.191304,2.10935,-0.986206,0,0.165522
3.927612,0.158398,1.88211,0.375591,0,0.926786
2.654066,-0.073172,2.38872,0.264725,0,0.964324
0.915695,-0.120372,1.96228,0.216884,0,0.976197
2.727541,0.178542,3.25653,0.247458,0,0.968899
4.072436,-0.221099,3.13224,-0.999329,0,-0.036629
4.816355,0.196444,4.05863,-0.999975,0,-0.007105
4.831136,-0.031274,3.3289,0.067834,0,0.997697
5.343713,0.129749,2.64929,-0.003725,0,0.999993
5.563393,-0.035346,3.18587,-0.999975,0,-0.007105
