x,y,z,scalar_value
277,91,50.88,0
241,22.083025,110,0
13.221661,60.990696,97.999,0
52.999996,385,63.727,0
229,153,99.634,0
98.938942,166.710815,96.558,0
193.506622,31,52,0
212.99234,236.96373,53.934,0
130.92762,138.457687,81.975,0
145.06311,231.697067,55.546,0
16.995057,60.976593,33.092,0
32.987003,77.288437,31.995,0
84.93335,130.214508,73.977,0
58.965199,120.835167,46.127,0
114.924088,94.049194,77.973,0
144.959885,68.111019,41.986,0
285,53,45.768,0
144.964035,52.829639,39.89,0
245,45,109.8259,0
211,51,91.323,0
4.998296,60.991928,65.31,0
299,63,48.145,0
136.955887,48.7911,39.989,0
72.96376,167.505646,43.987,0
303,125,62.946,0
133.786072,303.925659,78.116,0
138.398544,66.759579,79.982,0
104.919746,89.767616,69.972,0
279.429504,163,50,0
82.938942,118.7108,47.598,0
160.953171,179.590652,47.984,0
217,98.410698,80,0
94.926727,91.070412,47.974,0
100.947914,252.753357,95.105,0
267,85.976151,84,0
112.945976,32.74411,94.663,0
63.887806,72.771873,37.983,0
223,180.143311,52,0
30.980804,46.909081,35.242,0
61,366.976776,58,0
148.971375,40.864426,38.801,0
218.453735,5,50,0
151.01683,233.966476,43.745,0
268.831573,121,98,0
202.983337,240.921066,54.157,0
156.97702,48.891197,42.114,0
28.335806,80.93045,63.995,0
66.999954,376.999786,60.323,0
75.190872,32.646189,67.974,0
104.965752,359.764526,89.988,0
70.214539,64.72617,85.98,0
252.56929,49,96,0
184.992416,87.481415,71.997,0
283,87.569084,66,0
252.088379,157.923553,97.515,0
281,201,45.234,0
253,48.380882,74,0
150.898132,290.399078,88.009,0
16.297666,84.986389,87.999,0
12.997524,66.988274,91.188,0
136.956482,80.793846,98.234,0
221.451416,181.091599,83.428,0
200.983551,230.922089,53.099,0
22.988695,72.946465,65.944,0
148.973267,32.873411,38.08,0
146.946213,162.745224,43.098,0
92.943558,20.732658,97.293,0
237,5,45.057,0
297,29,44.783,0
263,61,84.011,0
211,53.26223,80,0
110.933189,89.725967,91.977,0
30.997921,154.990158,39.157,0
107.8591,132.661087,89.975,0
300.418121,93,54,0
222.992355,300.963776,49.449,0
140.417358,66.779537,83.984,0
44.989258,154.949112,41.319,0
196.999252,98.996513,96.546,0
122.932671,54.207203,57.976,0
157.01857,92.85836,93.989,0
98.928154,7.548177,41.975,0
281.177917,85,70,0
40.966408,10.840896,26.814,0
232.594055,55,76,0
207.53537,45,108,0
283,85,43.47,0
210.999146,164.995972,99.694,0
301,181,41.61,0
70.935555,27.307667,37.977,0
46.965008,50.834259,35.667,0
186.932327,376.679443,101.3592,0
70.934433,30.689468,81.3,0
40.988392,128.94503,38.438,0
188.776703,60.99028,53.999,0
164.989456,20.950037,42.941,0
58.984322,169.74324,107.9945,0
102.92881,91.957237,87.975,0
50.987171,172.93924,97.694,0
148.966049,96.731422,31.988,0
78.949509,174.645493,67.982,0
24.063925,209,86,0
60.946835,38.748192,36.801,0
197.617538,21,56,0
55.97047,16.734254,39.98,0
154.958588,102.609322,79.985,0
12.991512,6.9598,25.039,0
209,116.999977,48.45,0
293,345,33.933,0
174.692673,184.849304,45.989,0
52.167294,18.740329,45.981,0
114.942657,53.187515,31.98,0
303,106.672127,82,0
291,173,54.877,0
236.940353,23,68,0
245,31.06835,42,0
189.167587,110.967506,85.998,0
173.028397,232.705505,53.769,0
250.984573,190.396576,68.035,0
297.205048,99,80,0
62.966934,164.028671,77.988,0
182.987335,130.940025,96.517,0
142.95491,386.786469,46.965,0
136.823898,150.656479,75.975,0
289,385,45.285,0
221,61,77.956,0
63.7948,66.728256,51.98,0
184.370773,108.949242,53.996,0
158.970367,88.19558,87.99,0
225.98468,133.357697,77.738,0
114.942604,28.449234,33.98,0
289,92.031967,56,0
174.978607,132.898666,94.231,0
289,401,40.737,0
176.971008,153.913055,79.99,0
235,17.407278,98,0
213.894287,29,84,0
174.99408,36.971977,45.163,0
50.970448,92.860023,38.335,0
37.739956,6.796276,51.985,0
293,73,47.005,0
72.946579,128.731316,77.981,0
154.963745,106.009689,41.987,0
191.445007,68.993435,82,0
192.95369,312.78067,101.44,0
241,41,82.777,0
264.519043,345,92,0
36.972775,24.871052,28.682,0
237,81,85.141,0
72.099014,60.673676,61.976,0
138.957916,103.671654,29.985,0
44.973862,74.876198,34.952,0
176.988022,78.943283,54.223,0
115.626022,140.637817,83.973,0
39,377,58.692,0
164.121521,132.843719,93.988,0
241.683395,217.000015,48,0
124.941879,52.463661,41.98,0
275,199,66.957,0
112.93927,84.712379,96.953,0
10.057555,62.982597,67.999,0
116.945724,28.74295,90.637,0
237.335922,137,56,0
11,135,40.667,0
118.181114,30.734537,87.98,0
104.491272,10.657377,47.975,0
204.999405,138.997086,102.402,0
76.929375,32.665504,43.151,0
221.566193,57,116,0
297,198.662125,46,0
12.182063,68.995464,100,0
6.999141,66.995934,37.126,0
92.987267,374.939697,59.943,0
26.971642,6.164564,43.99,0
221,81,90.543,0
44.966034,46.839123,35.723,0
223.320404,93,44,0
192.951675,358.182526,55.983,0
215,91,85.536,0
168.959518,158.281937,75.986,0
142.945343,94.741142,75.643,0
137.137619,298.129517,84.071,0
189.554413,112.970406,89.998,0
116.971077,396.863007,56.658,0
194.38324,70.998688,92,0
34.961353,10.155962,65.986,0
114.930199,38.669392,51.567,0
224.985641,372.931976,47.273,0
18.99149,44.959698,32.583,0
106.945877,20.743645,95.544,0
287,13,46.414,0
120.931381,54.108974,55.976,0
164.988098,26.943632,44.804,0
300.636505,187,96,0
193,29,41.132,0
66.941296,84.721954,64.639,0
65.360538,58.724003,45.98,0
6.998346,60.700386,81.999,0
126.953255,6.778592,39.229,0
237,107,69.751,0
188.999344,47.458382,44,0
264.441681,121,90,0
297,128.23111,84,0
4.999869,60.999378,26.208,0
211,52.161228,106,0
78.9683,246.849869,81.04,0
249,230.829453,46,0
8.756375,403,80,0
44.982452,112.916885,36.21,0
251.667526,45,100,0
215,79,90.753,0
