x,y,z,delta_x,delta_y,delta_z
261.198395,349,100,0.671273,0.641262,0.371719
204.974075,356.877136,42.645,0.447513,0.563921,0.694065
66.93335,26.684322,75.432,-0.654601,0.659643,-0.369282
279,135.46524,72,0.29201,0.952812,-0.082946
96.941277,226.176559,77.979,-0.089229,-0.573854,0.814082
227.377396,140.949524,92.623,0.326241,-0.835915,0.441376
250.243591,201,48,0.910792,0.383353,0.153293
259.10321,53,92,0.560875,-0.410498,0.718965
94.947021,191.874222,45.981,0.017744,0.234906,0.971856
255,63,92.586,0.172384,0.197873,0.964951
88.95932,141.787476,111.9857,0.034526,-0.499821,0.86544
268.174316,115,100,-0.653757,0.141291,0.743397
197.502563,82.995682,70,-0.684783,0.642381,0.344121
72.978409,200.897736,111.2835,0.435456,0.548993,0.713432
221,21.241158,88,-0.496056,-0.851315,0.170853
289,5,43.333,0.282885,-0.453508,0.845166
230.999985,27,117.2877,-0.022006,-0.526693,0.849771
251,25.808941,98,0.860607,-0.503509,0.076377
230.999985,9,49.82,0.420452,-0.561447,0.71274
188.996948,71.059166,71.999,-0.830942,0.487172,0.2687
227,52.034977,74,-0.37299,0.79155,0.484074
283,315,51.436,0.004398,0.097342,0.995241
239.000015,65,82.709,-0.288197,0.625587,-0.724972
101.909615,160.787079,113.9842,0.928324,0.324636,0.18118
263,37,42.013,0.284957,-0.121863,0.950762
264.589905,57,76,0.908482,-0.416672,0.032336
50.957462,34.798527,34.168,-0.220671,-0.25659,0.940992
138.933502,194.685013,49.051,-0.086184,-0.045358,0.995246
279,325,49.201,-0.03578,0.142692,0.98912
225,19.547661,104,-0.280398,-0.933689,0.222716
301,57,47.997,-0.027757,0.011367,0.99955
72.700737,42.674107,75.976,-0.69928,-0.170749,-0.694155
291.139404,191,52,0.151405,0.12801,-0.980148
58.960629,119.597755,57.986,-0.520646,-0.621436,0.585445
58.971924,140.867035,93.575,-0.451806,-0.154228,0.878684
193.839722,298.808563,59.986,0.236698,-0.954545,0.181156
118.948013,62.75378,99.073,0.176979,-0.519555,0.835907
138.934143,202.688049,48.1,-0.007786,0.264209,0.964434
227,16.223932,70,0.247686,-0.961744,0.117051
257,34.730774,52,0.322948,-0.883901,-0.338266
24.990532,66.703445,33.997,-0.000491,0.116692,0.993168
239.000015,105.626045,74,-0.113096,0.981081,0.157125
277,196.546844,92,-0.279634,0.712384,0.643673
114.954491,364.784424,87.866,-0.574248,0.734062,0.36248
192.998703,73.143318,80,-0.858875,0.508309,0.062889
133.14505,228.248428,74.531,-0.440181,-0.879704,-0.179895
151.101547,214.554932,45.661,-0.300523,0.201431,0.932261
267.829803,333,68,0.826577,-0.504791,-0.24891
76.965492,188.836563,43.68,-0.315829,-0.114876,0.941836
234.990173,364.399445,57.997,-0.314884,0.946624,-0.068922
74.960449,157.663757,97.986,-0.213965,0.463621,0.859811
115.253159,26.706221,81.978,0.608081,-0.678715,-0.411805
186.999619,32.998175,41.427,0.176559,-0.109124,0.978222
52.992203,208.963089,102.7246,0.166746,0.598258,0.783762
82.969368,270.854919,79.461,-0.225421,0.924617,0.307033
112.585739,36.653513,63.974,0.986983,0.151823,0.053049
257,35.527916,58,0.250955,-0.842623,0.476454
96.927391,5.366973,41.974,0.748314,-0.649654,-0.134075
211.526321,43,114,-0.848148,-0.198543,0.491147
247,37,107.3823,0.556145,-0.05251,0.829425
198.998566,130.993202,104.5417,0.184463,-0.2679,0.945623
168.961914,155.820541,83.987,0.690552,0.641831,-0.333455
263,64.781956,48,0.751009,0.547597,-0.368949
27,237,42.604,0.095922,0.465437,0.879868
